Data,Cotacao
01/01/2025,5.6197
02/01/2025,5.639
03/01/2025,5.6041
04/01/2025,5.5885
05/01/2025,5.587
06/01/2025,5.6416
07/01/2025,5.6775
08/01/2025,5.6733
09/01/2025,5.6934
10/01/2025,5.6995
11/01/2025,5.6745
12/01/2025,5.6548
13/01/2025,5.6294
14/01/2025,5.6282
15/01/2025,5.6332
16/01/2025,5.5894
17/01/2025,5.617
18/01/2025,5.619
19/01/2025,5.6159
20/01/2025,5.6087
21/01/2025,5.6494
22/01/2025,5.6457
23/01/2025,5.6421
24/01/2025,5.6611
25/01/2025,5.662
26/01/2025,5.6826
27/01/2025,5.6858
28/01/2025,5.6884
29/01/2025,5.7194
30/01/2025,5.7189
31/01/2025,5.6974
01/02/2025,5.6669
02/02/2025,5.6693
03/02/2025,5.6462
04/02/2025,5.6659
05/02/2025,5.6738
06/02/2025,5.6671
07/02/2025,5.6517
08/02/2025,5.6509
09/02/2025,5.6667
10/02/2025,5.6891
11/02/2025,5.6603
12/02/2025,5.7088
13/02/2025,5.6937
14/02/2025,5.6651
15/02/2025,5.7049
16/02/2025,5.7363
17/02/2025,5.7607
18/02/2025,5.7449
19/02/2025,5.7726
20/02/2025,5.7708
21/02/2025,5.737
22/02/2025,5.7212
23/02/2025,5.6907
24/02/2025,5.7142
25/02/2025,5.7446
26/02/2025,5.7196
27/02/2025,5.7167
28/02/2025,5.7275
01/03/2025,5.7044
02/03/2025,5.7338
03/03/2025,5.7147
04/03/2025,5.6859
05/03/2025,5.6708
06/03/2025,5.6675
07/03/2025,5.652
08/03/2025,5.6881
09/03/2025,5.6942
10/03/2025,5.6645
11/03/2025,5.6791
12/03/2025,5.6492
13/03/2025,5.6935
14/03/2025,5.6694
15/03/2025,5.6643
16/03/2025,5.6751
17/03/2025,5.6616
18/03/2025,5.643
19/03/2025,5.6553
20/03/2025,5.6223
21/03/2025,5.6543
22/03/2025,5.628
23/03/2025,5.6026
24/03/2025,5.605
25/03/2025,5.5901
26/03/2025,5.6144
27/03/2025,5.6322
28/03/2025,5.6411
29/03/2025,5.6411
30/03/2025,5.6411
31/03/2025,5.6845
01/04/2025,5.7012
02/04/2025,5.7188
03/04/2025,5.7421
04/04/2025,5.7611
05/04/2025,5.7611
06/04/2025,5.7611
07/04/2025,5.7943
08/04/2025,5.8212
09/04/2025,5.8567
10/04/2025,5.8112
11/04/2025,5.7898
12/04/2025,5.7898
13/04/2025,5.7898
14/04/2025,5.8234
15/04/2025,5.8412
16/04/2025,5.8812
17/04/2025,5.8543
18/04/2025,5.8543
19/04/2025,5.8543
20/04/2025,5.8543
21/04/2025,5.8543
22/04/2025,5.8112
23/04/2025,5.7891
24/04/2025,5.7712
25/04/2025,5.7543
26/04/2025,5.7543
27/04/2025,5.7543
28/04/2025,5.7212
29/04/2025,5.7011
30/04/2025,5.7456
