Data,Cotação
02/01/2023,53.616
03/01/2023,54.653
04/01/2023,54.412
05/01/2023,53.815
06/01/2023,52.853
09/01/2023,52.641
10/01/2023,52.133
11/01/2023,51.852
12/01/2023,51.309
13/01/2023,51.102
16/01/2023,51.233
17/01/2023,51.082
18/01/2023,51.16
19/01/2023,51.935
20/01/2023,52.126
23/01/2023,51.983
24/01/2023,51.523
25/01/2023,51.399
26/01/2023,50.821
27/01/2023,50.915
30/01/2023,51.087
31/01/2023,51.048
01/02/2023,50.641
02/02/2023,49.977
03/02/2023,50.96
06/02/2023,51.78
07/02/2023,51.681
08/02/2023,52.18
09/02/2023,52.484
10/02/2023,52.341
13/02/2023,51.839
14/02/2023,51.768
15/02/2023,52.14
16/02/2023,52.315
17/02/2023,51.746
22/02/2023,51.831
23/02/2023,51.393
24/02/2023,51.844
27/02/2023,52.002
28/02/2023,52.211
01/03/2023,52.008
02/03/2023,52.058
03/03/2023,52.002
06/03/2023,51.803
07/03/2023,51.945
08/03/2023,51.484
09/03/2023,51.652
10/03/2023,52.105
13/03/2023,52.705
14/03/2023,52.624
15/03/2023,52.874
16/03/2023,52.462
17/03/2023,52.745
20/03/2023,52.576
21/03/2023,52.41
22/03/2023,52.291
23/03/2023,52.903
24/03/2023,52.745
27/03/2023,52.257
28/03/2023,51.842
29/03/2023,51.529
30/03/2023,51.237
31/03/2023,50.804
03/04/2023,50.684
04/04/2023,50.76
05/04/2023,50.4
10/04/2023,50.494
11/04/2023,50.165
12/04/2023,49.231
13/04/2023,49.179
14/04/2023,49.421
17/04/2023,49.448
18/04/2023,49.646
19/04/2023,50.44
20/04/2023,50.555
24/04/2023,50.382
25/04/2023,50.53
26/04/2023,50.566
27/04/2023,49.967
28/04/2023,49.888
02/05/2023,50.334
03/05/2023,50.227
04/05/2023,50.106
05/05/2023,49.696
08/05/2023,49.696
09/05/2023,50.007
10/05/2023,49.547
11/05/2023,49.696
12/05/2023,49.234
15/05/2023,48.977
16/05/2023,49.253
17/05/2023,49.403
18/05/2023,49.73
19/05/2023,50.003
22/05/2023,49.843
23/05/2023,49.631
24/05/2023,49.623
25/05/2023,50.133
26/05/2023,49.952
29/05/2023,50.115
30/05/2023,50.412
31/05/2023,50.953
01/06/2023,50.35
02/06/2023,49.558
05/06/2023,49.236
06/06/2023,49.292
07/06/2023,49.119
09/06/2023,48.922
12/06/2023,48.832
13/06/2023,48.533
14/06/2023,48.462
15/06/2023,48.222
16/06/2023,48.286
19/06/2023,47.803
20/06/2023,47.93
21/06/2023,47.795
22/06/2023,47.75
23/06/2023,47.799
26/06/2023,47.698
27/06/2023,47.903
28/06/2023,48.563
29/06/2023,48.584
30/06/2023,48.192
03/07/2023,47.876
04/07/2023,48.056
05/07/2023,48.577
06/07/2023,48.977
07/07/2023,48.799
10/07/2023,48.735
11/07/2023,48.949
12/07/2023,48.058
13/07/2023,48.038
14/07/2023,47.957
17/07/2023,48.302
18/07/2023,48.04
19/07/2023,48
20/07/2023,47.888
21/07/2023,47.732
24/07/2023,47.457
25/07/2023,47.496
26/07/2023,47.368
27/07/2023,47.202
28/07/2023,47.253
31/07/2023,47.415
01/08/2023,47.752
02/08/2023,48.083
03/08/2023,48.797
04/08/2023,48.609
07/08/2023,49.01
08/08/2023,49.217
09/08/2023,49.015
10/08/2023,48.518
11/08/2023,48.919
14/08/2023,49.481
15/08/2023,49.812
16/08/2023,49.772
17/08/2023,49.816
18/08/2023,49.724
21/08/2023,49.847
22/08/2023,49.431
23/08/2023,48.977
24/08/2023,48.748
25/08/2023,48.772
28/08/2023,48.938
29/08/2023,48.706
30/08/2023,48.653
31/08/2023,49.219
01/09/2023,49.318
04/09/2023,49.176
05/09/2023,49.705
06/09/2023,49.762
08/09/2023,49.835
11/09/2023,49.366
12/09/2023,49.505
13/09/2023,49.171
14/09/2023,48.751
15/09/2023,48.689
18/09/2023,48.535
19/09/2023,48.575
20/09/2023,48.487
21/09/2023,49.229
22/09/2023,49.131
25/09/2023,49.606
26/09/2023,49.717
27/09/2023,50.289
28/09/2023,50.475
29/09/2023,50.076
02/10/2023,50.679
03/10/2023,51.1
04/10/2023,51.526
05/10/2023,51.713
06/10/2023,51.918
09/10/2023,51.666
10/10/2023,50.862
11/10/2023,50.496
13/10/2023,50.625
16/10/2023,50.618
17/10/2023,50.384
18/10/2023,50.568
19/10/2023,50.54
20/10/2023,50.528
23/10/2023,50.164
24/10/2023,50.065
25/10/2023,49.981
26/10/2023,50.055
27/10/2023,49.48
30/10/2023,50.074
31/10/2023,50.575
01/11/2023,50.194
03/11/2023,48.91
06/11/2023,48.999
07/11/2023,48.67
08/11/2023,48.855
09/11/2023,49.007
10/11/2023,49.219
13/11/2023,49.247
14/11/2023,48.682
16/11/2023,48.575
17/11/2023,48.849
20/11/2023,48.723
21/11/2023,48.806
22/11/2023,48.968
23/11/2023,48.931
24/11/2023,48.927
27/11/2023,48.951
28/11/2023,48.867
29/11/2023,48.933
30/11/2023,49.355
01/12/2023,49.191
04/12/2023,49.091
05/12/2023,49.522
06/12/2023,49.031
07/12/2023,48.949
08/12/2023,49.158
11/12/2023,49.44
12/12/2023,49.476
13/12/2023,49.58
14/12/2023,48.912
15/12/2023,49.397
18/12/2023,49.399
19/12/2023,48.663
20/12/2023,48.766
21/12/2023,48.755
22/12/2023,48.619
26/12/2023,48.368
27/12/2023,48.302
28/12/2023,48.413
29/12/2023,48.413
