Data,Cotação
01/01/2024,48.742
02/01/2024,48.721
03/01/2024,49.093
04/01/2024,49.902
05/01/2024,49.833
08/01/2024,49.764
09/01/2024,50.601
10/01/2024,51.033
11/01/2024,50.846
12/01/2024,51.165
15/01/2024,50.982
16/01/2024,50.797
17/01/2024,50.965
18/01/2024,50.057
19/01/2024,49.242
22/01/2024,49.009
23/01/2024,4.855
24/01/2024,48.755
25/01/2024,48.349
26/01/2024,47.691
29/01/2024,48.472
30/01/2024,48.407
31/01/2024,48.488
01/02/2024,47.824
02/02/2024,4.76
05/02/2024,47.703
06/02/2024,47.175
07/02/2024,47.411
08/02/2024,47.159
09/02/2024,47.061
12/02/2024,46.808
13/02/2024,47.782
14/02/2024,47.823
15/02/2024,47.342
16/02/2024,47.801
19/02/2024,47.239
20/02/2024,47.391
21/02/2024,46.459
22/02/2024,45.843
23/02/2024,45.989
26/02/2024,46.406
27/02/2024,4.654
28/02/2024,4.653
29/02/2024,46.427
01/03/2024,45.736
04/03/2024,45.424
05/03/2024,45.241
06/03/2024,45.818
07/03/2024,46.038
08/03/2024,45.204
11/03/2024,45.414
12/03/2024,45.269
13/03/2024,44.979
14/03/2024,45.332
15/03/2024,45.896
18/03/2024,46.409
19/03/2024,46.038
20/03/2024,45.931
21/03/2024,46.144
22/03/2024,4.668
25/03/2024,46.488
26/03/2024,46.443
27/03/2024,45.938
28/03/2024,45.388
29/03/2024,45.842
01/04/2024,46.568
02/04/2024,4.658
03/04/2024,4.713
04/04/2024,47.358
05/04/2024,47.084
08/04/2024,47.312
09/04/2024,48.129
10/04/2024,48.159
11/04/2024,48.989
12/04/2024,47.727
15/04/2024,48.186
16/04/2024,48.278
17/04/2024,48.176
18/04/2024,4.827
19/04/2024,47.324
22/04/2024,47.262
23/04/2024,47.488
24/04/2024,48.275
25/04/2024,48.064
26/04/2024,47.708
29/04/2024,47.505
30/04/2024,4.801
01/05/2024,48.223
02/05/2024,48.006
03/05/2024,4.831
06/05/2024,48.407
07/05/2024,48.939
08/05/2024,48.636
09/05/2024,4.852
10/05/2024,48.371
13/05/2024,47.688
14/05/2024,47.884
15/05/2024,48.062
16/05/2024,48.112
17/05/2024,48.043
20/05/2024,47.383
21/05/2024,47.221
22/05/2024,47.097
23/05/2024,46.744
24/05/2024,46.711
27/05/2024,46.961
28/05/2024,47.952
29/05/2024,48.087
30/05/2024,48.264
31/05/2024,48.275
03/06/2024,47.363
04/06/2024,47.398
05/06/2024,47.476
06/06/2024,48.755
07/06/2024,48.707
10/06/2024,48.906
11/06/2024,48.936
12/06/2024,4.84
13/06/2024,49.019
14/06/2024,49.443
17/06/2024,49.886
18/06/2024,4.948
19/06/2024,50.229
20/06/2024,49.576
21/06/2024,49.917
24/06/2024,5.106
25/06/2024,50.613
26/06/2024,50.378
27/06/2024,50.475
28/06/2024,50.272
01/07/2024,49.544
02/07/2024,49.626
03/07/2024,49.143
04/07/2024,49.428
05/07/2024,49.016
08/07/2024,49.839
09/07/2024,49.495
10/07/2024,49.382
11/07/2024,49.837
12/07/2024,49.269
15/07/2024,49.431
16/07/2024,50.132
17/07/2024,49.376
18/07/2024,49.517
19/07/2024,49.694
22/07/2024,50.133
23/07/2024,49.563
24/07/2024,4.895
25/07/2024,49.259
26/07/2024,49.456
29/07/2024,49.629
30/07/2024,4.985
31/07/2024,49.558
01/08/2024,49.722
02/08/2024,49.916
05/08/2024,49.607
06/08/2024,50.588
07/08/2024,50.872
08/08/2024,50.325
09/08/2024,50.701
12/08/2024,50.261
13/08/2024,50.703
14/08/2024,5.133
15/08/2024,50.968
16/08/2024,51.497
19/08/2024,51.751
20/08/2024,5.221
21/08/2024,53.207
22/08/2024,53.132
23/08/2024,52.803
26/08/2024,52.406
27/08/2024,52.046
28/08/2024,52.055
29/08/2024,52.274
30/08/2024,5.246
02/09/2024,52.921
03/09/2024,52.976
04/09/2024,53.751
05/09/2024,53.666
06/09/2024,55.074
09/09/2024,55.435
10/09/2024,55.054
11/09/2024,54.567
12/09/2024,54.856
13/09/2024,54.792
16/09/2024,55.197
17/09/2024,55.481
18/09/2024,55.493
19/09/2024,55.117
20/09/2024,54.408
23/09/2024,54.232
24/09/2024,54.708
25/09/2024,54.863
26/09/2024,54.288
27/09/2024,54.423
30/09/2024,54.663
01/10/2024,54.269
02/10/2024,54.394
03/10/2024,54.471
04/10/2024,53.948
07/10/2024,54.174
08/10/2024,54.503
09/10/2024,55.092
10/10/2024,55.667
11/10/2024,55.026
14/10/2024,54.605
15/10/2024,5.491
16/10/2024,55.215
17/10/2024,5.552
18/10/2024,57.495
21/10/2024,57.828
22/10/2024,58.444
23/10/2024,58.969
24/10/2024,59.342
25/10/2024,59.233
28/10/2024,5.966
29/10/2024,59.321
30/10/2024,59.251
31/10/2024,59.056
01/11/2024,59.145
04/11/2024,6.035
05/11/2024,59.464
06/11/2024,59.855
07/11/2024,59.097
08/11/2024,58.909
11/11/2024,59.501
12/11/2024,59.581
13/11/2024,5.909
14/11/2024,58.781
15/11/2024,59.168
18/11/2024,58.851
19/11/2024,59.007
20/11/2024,59.078
21/11/2024,5.88
22/11/2024,5.992
25/11/2024,60.285
26/11/2024,5.932
27/11/2024,59.461
28/11/2024,59.178
29/11/2024,59.652
02/12/2024,59.304
03/12/2024,59.294
04/12/2024,59.595
05/12/2024,60.075
06/12/2024,59.523
09/12/2024,59.404
10/12/2024,59.214
11/12/2024,58.935
12/12/2024,59.866
13/12/2024,60.116
16/12/2024,59.534
17/12/2024,60.041
18/12/2024,6.115
19/12/2024,61.714
20/12/2024,61.002
23/12/2024,60.808
24/12/2024,61.489
25/12/2024,61.183
26/12/2024,61.453
27/12/2024,61.888
30/12/2024,61.473
31/12/2024,61.491
